# STABLE DIAGNOSTIC CODE REGISTRY — GI-12. TAB-separated, appended to, never rewritten.
#
# WHAT A ROW IS. `code` names a SEMANTIC REJECTION CONDITION: the language rule
# this compiler enforces. Not a variant, not a construction site, not the
# sentence it currently prints. That is what makes a `code=PD####` pin survive a
# rewording and a refactor, which is the entire purchase of this file.
#
# THE COLUMNS, AND WHY IDENTITY AND EVIDENCE ARE SEPARATED (spec R12).
#   code               PD then exactly four digits. Allocated monotonically and
#                      MEANINGLESS — no family bands, because a band invites
#                      renumbering and renumbering is the one thing a stable code
#                      may not do. Nothing may read arithmetic into it.
#   symbolic_name      snake_case, unique. A convenience for humans and grep.
#                      The NUMBER is the identity; this is not.
#   status             active | tombstone. A tombstone is a code that was RETIRED
#                      (its condition turned out to be another code's rule seen
#                      from a second position, or the rule was implemented). A
#                      tombstoned row is never deleted and never re-pointed, and
#                      no manifest row may pin one.
#   semantic_condition THE STABLE IDENTITY. The rule sentence. Changing it is
#                      re-pointing the code, which D7 forbids; if the rule
#                      really changed, MINT A NEW CODE and tombstone this one.
#   justification      MUTABLE EVIDENCE: where the rule is enforced, why the
#                      witnesses share one code, what a merge absorbed. file:line
#                      drifts and prose is refined; identity may not, so the two
#                      do not share a column.
#   first_witness      A REFUSAL-witness corpus row (class `reject`, or one of the
#                      two `skip` rows whose refusal is their non-program proof).
#                      `-` for a tombstone: its witnesses belong to the survivor.
#   introduced_commit  The commit that first emitted this code, or `-` while the
#                      row is still in a working tree. The gate accepts `-` or a
#                      commit that is an ANCESTOR OF HEAD, and nothing else —
#                      mere object existence was the earlier predicate and it
#                      accepted every commit of every abandoned branch.
#
# WHY THE TOMBSTONES ARE GUARDED BY TWO FILES AND NOT BY THREE. A review asked
# for a defence against a commit that revives a retired number by editing THIS
# file and `src/errors/codes.rs` together. Declined, deliberately, on this
# repository's own settled precedent: `scripts/thesis-exit.sh:14-21` carries a
# duplicated contract and says of it that "weakening both together is possible
# and is meant to be: it takes an edit to two files in one commit, which is
# exactly the thing a reviewer can see." A reviewed cross-check is a pair of
# independent derivations, not a lock; adding a third copy multiplies the places
# that must agree without adding an authority that is harder to edit. The two
# derivations here are this file and the binary's own `DiagnosticCode::TOMBSTONES`
# (`pdc --dump-diagnostic-codes`), compared by `make check-diagnostic-codes`.
#
# SCOPE TODAY. su1 seeded the two conditions it wired end to end, plus the six
# tombstones the su0 map review retired; su2a appends the ten PARSER-FAMILY
# conditions whose construction sites it wires (the macro token stream, top-level
# initialiser form, `macro_rules!`, return-on-every-path, single-pass expansion,
# macro parameter substitution, and the two lexical refusals). su2b appends the
# fourteen conditions that render as `Expected ..., but found ...`: the grammar
# positions where the parser refuses a token. Their sites were not greppable —
# six of the fourteen have their sentence split across Rust line continuations or
# assembled by `consume()` from a message SHARED with a hundred other callers —
# so each was named by a throwaway marker build (a unique marker per message
# literal, one release build, every witness compiled, markers read, all markers
# reverted before a code was attached; method and readings in the unit's
# scratchpad, `su2b-attribution.tsv`). su3 appends the TYPE-CHECKER family: the
# thirty-eight conditions raised under `src/typeck/`, at fifty-two construction
# sites, so several of these rows are one rule stated in two, three or four
# positions. Two dispositions in this block are worth reading before the rows:
# PD0021 absorbed a second map number that named the same single `Err`, which is
# tombstoned below as PD0064 — allocation in the map, not first emission, is
# what obliges a tombstone, which is why the su0 six are here too — and
# PD0022/PD0046 record the `tests/xfail/alias_*` programs their sites also
# refuse — an over-attribution found by sweeping every `.pd` in the tree against
# the shipping binary, not by reading. The remaining conditions of the locked
# 72-condition map are appended by the later emission slices as their sites are
# wired — a registry row whose code nothing can emit would be a promise, not a
# record.
code	symbolic_name	status	semantic_condition	justification	first_witness	introduced_commit
PD0066	return_value_on_every_path	active	a function that declares a return type must produce a value on every path	one predicate, `returns_on_every_path` (src/parser/mod.rs): its two refusals differ in what the author wrote — a value in tail position on some paths, or no value anywhere — and not in the rule, so both are coded. The written-tail refusal has no corpus fixture; a code names the condition, not the witness.	tests/reject/missing_return.pd	-
PD0067	single_pass_expansion	active	macro expansion is a single pass, so an invocation produced by an expansion is never expanded	two positions in src/macros/mod.rs — a macro BODY (`register_macro`) and a macro ARGUMENT (`refuse_nested_invocation`) — which the source itself calls 'the same one-pass fact seen from the other side'; both messages carry the rule clause verbatim, and that is what retired PD0073 here. The two witnesses are told apart by `msg~` on the position clause.	tests/reject/macro_invokes_macro.pd	-
PD0068	macro_body_substitutes_own_parameters	active	a macro body may substitute only its own parameters	one `Err` in `register_macro` (src/macros/mod.rs); the `params.is_empty()` branch inside it is the same rule with a better sentence for a macro that takes none, and has no fixture of its own.	tests/reject/macro_unknown_substitution.pd	-
PD0069	macro_parameter_needs_dollar	active	a parameter named in a macro body must be written `$name`, because a bare name resolves at the call site	two arms of one match in `register_macro` (src/macros/mod.rs) — position 0, and everywhere else — which the source calls 'the same defect with a cheaper test'. Only the position-0 arm has a fixture; both carry the code, because a code names the condition and not the branch that detected it.	tests/reject/macro_bare_parameter.pd	-
PD0074	multi_character_operator_in_macro_token_stream	active	a multi-character operator may not appear in a macro body or argument, because `AstToken::Punct` holds one `char`	one arm over ten operator tokens in `token_to_ast_token` (src/parser/mod.rs). Kept apart from PD0008 although the two SHARE the `refuse` closure and print the same shape of sentence: the literal refusals are about a lost KIND, this one about a representation that does not exist, since `= =` is not `==`.	tests/reject/macro_body_two_char_operator.pd	-
PD0077	unknown_escape_spelling	active	a `\` in a literal must be followed by a spelling the escape table names	raised as `LexError::UnknownEscape` from the string position (src/lexer/token.rs); the identical refusal for the CHAR position has no fixture. The code is attached where a lexical refusal becomes a `CompileError` (src/lexer/scanner.rs) — the first place a code can be attached, and the one place both positions reach.	tests/reject/unknown_escape.pd	-
PD0078	unterminated_block_comment	active	a `/*` must be closed	one nesting-aware site (src/lexer/token.rs), coded at the `LexError` -> `CompileError` conversion in src/lexer/scanner.rs for the reason PD0077 is.	tests/reject/unterminated_block_comment.pd	-
PD0013	top_level_item_is_a_declaration_form	active	a top-level item is one of the declaration forms this language has: `fn`, `struct`, `enum`, `trait`, `type`, `impl`, `macro`	the `_` arm of `parse_item` (src/parser/mod.rs), which is where a file that is not Palladium source at all arrives. TWO witnesses with CHARACTER-IDENTICAL payloads and no discriminator between them, deliberately: a `package.pd` manifest and an `extern` block are refused for the one reason, so a fragment telling them apart would pin the fixture rather than the rule	tests/reject/extern_block.pd	-
PD0029	macro_invocation_is_parenthesised	active	a macro invocation writes its arguments in parentheses: `name!(...)` is the one call shape	the `consume` after `!` in the postfix loop (src/parser/mod.rs), so `vec![7]` does not parse even though src/macros/mod.rs registers a `vec!` builtin. `consume` is shared by 112 callers enforcing 112 rules, so the code is passed per call site (`consume_coded`) and never attached inside it	tests/reject/macro_invocation_bracket.pd	-
PD0030	parameter_list_is_closed_by_paren	active	a function's parameter list is a comma-separated list of `name: type` closed by `)`	TWO POSITIONS, one rule: `parse_function` and the method loop of `parse_impl` (src/parser/mod.rs). The call-ARGUMENT `)`s in the same file are a different rule and stay uncoded — a shared token is not a shared condition. The witness reaches this position by writing `ref String`, a type spelling the language does not have	tests/reject/ref_parameter.pd	-
PD0031	let_initialiser_is_mandatory	active	a `let` initialiser is mandatory: `=` follows the binding	`parse_let` (src/parser/mod.rs). docs/specification/grammar.ebnf's let_stmt has no optional-initialiser branch; this is the half of that production refused at the `=` position, and PD0041 is the other half, refused a few lines earlier by a different branch	tests/reject/let_needs_an_initializer.pd	-
PD0032	generic_parameter_list_is_bare_names	active	a generic parameter list holds bare names and is closed by `>`; the `:` that would introduce a trait bound ends the list	FIVE declaration positions state it — function, trait, trait method, impl and type alias, all src/parser/mod.rs — and all five carry this code for the reason PD0049 is one code in two positions. The generic ARGUMENT list at a use site is a different rule and is not coded. Only the function position has a corpus witness	tests/reject/generic_bound.pd	-
PD0033	chained_tuple_index_is_parenthesised	active	a chained tuple index has to be parenthesised, as `(p.0).1`	the `Token::Float` arm of the postfix `.` loop (src/parser/mod.rs). `.0.1` matches the float rule, so it arrives as ONE `Float` token and the two indices are gone: `p.0.10` and `p.0.1` both hold 0.1, so recovering the digits would be a guess with a wrong answer available	tests/reject/tuple_index_chained.pd	-
PD0034	range_pattern_high_end_is_a_literal	active	the high end of a range pattern is a literal — open-ended range patterns are not in the language	the arm reached after `..`/`..=` in the range-pattern parser (src/parser/mod.rs). The missing LOW end is PD0035: a different position in the production, not a parameter of this refusal	tests/reject/range_pattern_open_ended.pd	-
PD0035	range_pattern_has_both_endpoints	active	a range pattern has both endpoints, `lo..hi` or `lo..=hi`	the `DotDot | DotDotEq` arm of `parse_pattern_primary` (src/parser/mod.rs), reached when the pattern STARTS with the operator. Kept apart from PD0034 by the locked su0 map	tests/reject/range_pattern_open_low.pd	-
PD0036	tuple_index_has_no_leading_zeros	active	a tuple index is written without leading zeros	the `Token::Integer` arm of the postfix `.` loop (src/parser/mod.rs), tested on the SPAN because the lexer has already turned the spelling into an i64. Without it `p.01` compiled silently as `.1`. The neighbouring refusal in the same arm — a NEGATIVE index — is a third rule with no corpus witness and stays uncoded	tests/reject/tuple_index_leading_zero.pd	-
PD0037	tuple_pattern_has_at_least_two_elements	active	a tuple pattern has at least two elements: grouping is not a pattern form, so `(p)` is not a way to write `p`	the parenthesised arm of `parse_pattern_primary` (src/parser/mod.rs). Separate from PD0038 because the locked map states the arity rule twice — once over patterns and once over values — and the two productions can move independently	tests/reject/tuple_pattern_one_element.pd	-
PD0038	tuple_has_at_least_two_elements	active	a tuple has at least two elements: `(e)` is grouping and the one-element tuple `(e,)` is not a form this language has	the parenthesised arm of `parse_primary` (src/parser/mod.rs), the VALUE position of the arity rule whose pattern position is PD0037	tests/reject/tuple_one_element.pd	-
PD0039	expression_position_holds_an_expression_form	active	an expression position holds one of the expression forms this language has	the catch-all of `parse_primary` (src/parser/mod.rs). Its corpus witness writes a closure literal, and there is no Closure node anywhere in src/ast/, so `|` in expression position is not the start of anything	tests/reject/closure_literal.pd	-
PD0040	pattern_position_holds_a_pattern_form	active	a pattern position holds one of the pattern forms this language has	the catch-all of `parse_pattern_primary` (src/parser/mod.rs). Its witness writes a bare `{ x }`: field shorthand is a spelling INSIDE a variant path, so a brace begins pattern content nowhere else	tests/reject/brace_pattern_needs_a_variant_path.pd	-
PD0041	let_binds_one_bare_identifier	active	`let` binds one bare identifier: there are no `let` patterns	the name position of `parse_let` (src/parser/mod.rs). The `for` loop's variable position prints the SAME sentence and enforces a different rule, so it does not carry this number — which is why the code is attached at the site a marker build named and never derived from a message	tests/reject/let_does_not_destructure.pd	-
PD0001	match_is_exhaustive	active	a `match` covers every value its scrutinee can take	FOUR POSITIONS, one rule, all under src/typeck/: the bool split and the enum-variant sweep in exhaustiveness.rs, its non-enum wildcard arm, and the arm in mod.rs for a scrutinee whose values the checker cannot enumerate. What is MISSING is the parameter, so the ten witnesses are told apart by `msg~` on it. The wildcard arm has no witness: mod.rs's arm answers first for every non-enum scrutinee measured.	tests/reject/bool_match_true_guarded.pd	-
PD0004	local_binding_may_not_shadow_a_top_level_item	active	a local binding may not shadow a top-level item	one `Err` in `refuse_global_shadow` (src/typeck/mod.rs); the binder kind it names — a local, a parameter, a loop variable, a pattern binding, an `@` binding — is passed IN by the caller, so it is the parameter of one rule and the four witnesses share this code. Kept apart from PD0005 because that one is about two TOP-LEVEL declarations, and the source says why the repair differs: a local can be renamed freely.	tests/reject/at_binding_shadows_item.pd	-
PD0005	top_level_names_share_one_namespace	active	a top-level name is declared once: this language has ONE namespace for values, functions and types	FOUR POSITIONS state it, all src/typeck/mod.rs — a global against a function, a global against a type, a global against another global, and `refuse_global_collision` for a function or type declared against an existing global — and all four carry this code for the reason PD0049 is one code in two positions. The source calls the pair 'ONE NAMESPACE, CHECKED IN BOTH DIRECTIONS'. Two of the four are witnessed; which direction was written is the particular.	tests/reject/const_collides_with_enum.pd	-
PD0007	pub_on_a_top_level_item_is_not_implemented	active	`pub` on a top-level `const`/`static` is not implemented	one predicate over `Visibility::Public` in `register_global` (src/typeck/mod.rs). Nothing exports a top-level item and nothing emits a definition for an imported one, so the keyword would promise a visibility that does not exist; `const` and `static` are the noun, which is why the three witnesses share this code.	tests/reject/pub_const_item.pd	-
PD0009	pattern_has_the_scrutinee_type	active	a pattern has the type of the scrutinee the `match` is on	THREE PATTERN FORMS state it in `check_pattern` (src/typeck/mod.rs): a tuple pattern against a non-tuple, a range pattern whose endpoints are another type, and a literal pattern. All three carry this code — one rule, three positions, as PD0032 is at five. Only the literal position has corpus witnesses; the other two are reached by programs written in tests/gi12_diagnostic_codes.rs.	tests/reject/char_pattern_on_int_scrutinee.pd	-
PD0010	range_pattern_matches_something	active	a range pattern must be able to match something	one predicate over the two endpoints (src/typeck/mod.rs), reached only after the endpoint-kind and endpoint-agreement rules have passed. The computed bounds in the payload are fixture data, which is why the three witnesses share this code and are told apart by `msg~`.	tests/reject/char_range_pattern_empty.pd	-
PD0011	or_pattern_alternative_binds_nothing	active	an alternative of an `|` pattern binds nothing	one `Err` over `first_binder` (src/typeck/mod.rs). Every alternative would have to bind the same names at the same types for the arm's body to be checkable, and this compiler does not do that, so the binding form is refused rather than half-supported. The three witnesses are told apart by the alternative they name.	tests/reject/at_pattern_over_alternatives.pd	-
PD0014	pattern_shape_matches_the_variant	active	a variant pattern is written in the shape the variant declares	the `_` arm of the payload match in `bind_pattern_variables` (src/typeck/mod.rs). Kept apart from PD0015: that one is about a field NAME inside a shape that already fits. The two witnesses have character-identical payloads — a tuple payload written with braces, in two spellings — and take no discriminator.	tests/reject/field_shorthand_needs_a_struct_variant.pd	-
PD0015	variant_pattern_field_is_declared	active	a named field in a variant pattern must be one the variant declares	the lookup in the pattern's field walk (src/typeck/mod.rs). The CONSTRUCTION position prints the identical sentence and stays UNCODED: the locked map keeps a pattern rule and a value rule apart even when they read the same, as it does for the tuple arity pair PD0037/PD0038, and the construction position has no corpus row. The two witnesses are one refusal in two spellings and their payloads are identical.	tests/reject/pattern_unknown_field.pd	-
PD0016	match_arm_is_reachable	active	every arm of a `match` is reachable	one `Err` in src/typeck/exhaustiveness.rs, raised after the walk that promotes a completed `bool` split, so a later arm on a finished variant meets this check like any other. The message names no pattern, so the two witnesses' payloads are character-identical and the pin takes no `msg~`.	tests/reject/bool_split_after_completion.pd	-
PD0017	generic_method_is_not_implemented	active	a generic method is not implemented	TWO POSITIONS in src/typeck/mod.rs — the path spelling `Rect::id(r)` and the method spelling `r.id()` — which the source itself calls the same call, and each has its own corpus witness. Code generation emits no symbol for a generic method, so the call would fail at link time; the two witnesses print the same sentence and are told apart by nothing, because there is nothing to tell apart.	tests/reject/generic_method_call.pd	-
PD0018	async_fn_is_not_implemented	active	an `async fn` is not implemented (N7-18)	THREE POSITIONS in src/typeck/mod.rs — the entry point, the general `is_async` predicate, and the deferred check for an `async fn main` an imported module might have shadowed. The source says of the entry-point arm that it is a 'named sub-case' of the general one, kept only because its wording is more specific, which is why one code covers both; the spelling (`async fn` / `async fn main`) is the parameter and the two witnesses are told apart by it. The deferred position has no fixture.	tests/reject/async_producer.pd	-
PD0019	program_may_not_define_a_built_in_name	active	a program may not define or shadow a built-in name (N14-02)	one `Err` in `refuse_builtin_definition` (src/typeck/mod.rs); `reason` varies by whether the name is CALLABLE — a definition nothing can reach, or one namespace with two meanings — which is the parameter, the 'one Err, reason varies' shape that retired PD0061 into PD0060. PD0075 is the sibling one scope in and is a different rule, which the su0 review decided explicitly.	tests/reject/shadow_builtin.pd	-
PD0021	mut_method_call_needs_a_mut_receiver	active	a method taking `&mut self` may not be called through a receiver that is not `&mut self`	one `Err` on the method-call path (src/typeck/mod.rs), reached when the CALLER's receiver is not `&mut self` and the callee's is; `detail` is chosen by the caller's receiver form — a `&self` shared borrow, or a by-value `self` copy the caller would never observe — which is the parameter of one rule, so the three witnesses share this row. The locked map carried the by-value spelling under a second number, PD0064, naming this same single `Err`; su3 merged it here and RETIRED 64 to a tombstone row below. The first disposal drafted was to drop 64 unminted because it had never been emitted; that was reversed on review, because the su0 six were never emitted either and the boundary that owes a tombstone is ALLOCATION IN THE MAP, not first emission — the map is durable and cited, so a number it allocated may not be handed to another condition. PD0060 is the neighbour and guards `Stmt::Assign`; this row guards the CALL that reaches the same field through a callee, which that predicate cannot see.	tests/reject/call_mut_method_through_shared_receiver.pd	-
PD0022	let_annotation_and_initialiser_agree	active	a `let` with a type annotation requires its initialiser to have exactly that type, with no implicit conversion	the annotated arm of `Stmt::Let` (src/typeck/mod.rs), which reaches `TypeErrorHelper::type_mismatch`. That helper is called from the ASSIGNMENT arm too, enforcing a different rule, so the code is attached at the CALL SITE and never inside the helper — the reason `consume_coded` exists on the parser side. Two `tests/xfail/alias_*` rows reach this site as well and now carry the code: an alias that is not expanded before the comparison is this rule refusing a program it should accept, which is what makes them xfail rather than a second condition.	tests/reject/int_is_not_a_char.pd	-
PD0042	argument_has_the_parameter_type	active	an argument must have the parameter's declared type	one `Err` in the `Expr::Call` argument loop (src/typeck/mod.rs). The const-generic callee spelling reaches the same `Err` — an arity probe in the su0 review showed it is not on the `check_call_with_type` path — which is what retired PD0047 into this code; `Int` vs `[Int; N]` is the expected type, i.e. the particular.	tests/reject/char_is_not_an_int.pd	-
PD0043	addition_operand_is_int_float_or_string	active	the left operand of `+` is `Int`, `Float` or `String`	the final `else` of the `BinOp::Add` mismatch arm (src/typeck/mod.rs). The arm ABOVE it — two numeric operands of different types, refused because there is no implicit widening — is a different rule and stays uncoded; a code attached one arm early would print on `1 + 2.5`. Kept apart from PD0022 and PD0042 although all three can print the word `Char`: the su0 review rejected that merge by site, because nothing is shared but a word in the payload.	tests/reject/char_arithmetic_is_not_an_int.pd	-
PD0044	program_has_a_main_function	active	a program must contain a `main` function	one predicate over `self.functions` in `check` (src/typeck/mod.rs); the sentence comes from `TypeErrorHelper::missing_main`, and the code is attached at the predicate rather than in the helper for the reason PD0022's is. Its witness is a `skip` row — a module of a package, which is not a program — and that refusal is its non-program proof (spec R7).	tests/projects/hello_pdm/src/math.pd	-
PD0045	match_arm_body_uses_names_its_pattern_binds	active	a name used in a match arm's body must be bound by that arm's pattern	the suggestion-carrying arm of the undefined-name path (src/typeck/mod.rs): an omitted field is not bound, so the body's mention of it resolves to nothing. The no-suggestion spelling of the same rule a few lines down has no fixture and stays uncoded, which the locked map records as this code's corpus gap.	tests/reject/pattern_omitted_field_is_unbound.pd	-
PD0046	struct_type_is_declared	active	a struct type named in the program must be one the program declares	THREE POSITIONS in src/typeck/mod.rs — a struct literal, an assignment target's base, and a field read — which the locked map names as 'the identical refusal', so all three carry this code. The literal position is witnessed by tests/reject/try_block.pd (`try { }` parses as a struct literal, because `try` is not a keyword), the assignment base by tests/xfail/alias_struct_behind_reference.pd, and the field read by a program written in tests/gi12_diagnostic_codes.rs.	tests/reject/try_block.pd	-
PD0048	generic_enum_is_not_implemented	active	constructing a variant of a generic enum is not implemented	one predicate over `generic_enums` in the enum-construction path (src/typeck/mod.rs). Code generation emits no type, no tag and no constructor for a generic enum, so the C compiler would be the first thing to notice.	tests/reject/generic_enum_constructor.pd	-
PD0050	deref_self_is_not_a_place	active	`*self` is not a place	a predicate over the literal token `self` under a `Deref` (src/typeck/mod.rs). A reference receiver is already dereferenced by field access, so `*self` asked for a second indirection and reached gcc as one. The su0 review kept it apart from the receiver rules deliberately: this one is about the SPELLING, not about what the receiver form permits.	tests/reject/deref_self_is_not_a_place.pd	-
PD0052	mut_parameter_on_a_method_is_not_implemented	active	a `mut` parameter on a method is not implemented	one `find` over the method's parameters in the impl walk (src/typeck/mod.rs). The source records that the refusal is now CONSERVATIVE rather than forced — the call side takes an address for pointer parameters since su2 — and that lifting it is its own row. A code names the rule the compiler enforces today.	tests/reject/method_mut_parameter.pd	-
PD0053	integer_cast_to_char_is_a_unicode_scalar	active	an integer literal cast to `char` must denote a Unicode scalar	ONE `Err` behind a two-disjunct predicate (src/typeck/mod.rs): outside 0..=0x10FFFF, or inside the UTF-16 surrogate range. Only the surrogate disjunct has a corpus fixture; the other is reached by a program written in tests/gi12_diagnostic_codes.rs, and both are this one rule. Refused at compile time only when the operand is WRITTEN DOWN — a computed value still traps at run time.	tests/reject/char_from_non_scalar.pd	-
